from,to,cost
1016042,1017411,1353.11
1016042,1017412,1149.5
1016042,1017441,1841.39
1016042,1017442,2389.74
1016042,1017451,1841.39
1016042,1017452,1687.49
1016042,1017531,329.763
1016042,1017541,329.763
1016042,1017542,766.976
1016042,1017551,2389.74
1016042,1017552,2298.97
1016042,1017911,290.816
1016042,1017912,319.042
1016042,1018111,2298.97
1016042,1018112,1687.49
1016042,1018121,2298.97
1016042,1018122,2262.1
1016042,1018301,744.788
1016042,1018302,744.788
1016042,1018311,613.032
1016042,1018312,613.032
1016042,1018441,766.976
1016042,1018442,744.788
1016042,1018451,766.976
1016042,1018452,1146.21
1016042,1018721,744.788
1016042,1018722,1149.5
1016042,1018731,744.788
1016042,1018732,961.489
1016042,1018891,1687.49
1016042,1018892,1330.65
1016042,1018901,1687.49
1016042,1018902,1700.7
1016042,1019451,1330.65
1016042,1019452,1700.7
1016042,1019461,1149.5
1016042,1019462,1334.25
1016042,1019761,638.413
1016042,1019762,961.489
1016042,1020361,961.489
1016042,1020362,1334.25
1016042,1020371,961.489
1016042,1020372,1269.78
1016042,1020561,1700.7
1016042,1020562,1782.13
1016042,1020571,1700.7
1016042,1020572,2033.16
1016042,1020821,1334.25
1016042,1020822,1782.13
1016042,1020831,1334.25
1016042,1020832,1909.57
1016042,1021601,2033.16
1016042,1021602,2262.1
1016042,1021781,2262.1
1016042,1021782,2378.69
1016042,1058031,4415.81
1016042,1058032,4356.17
1016042,1058051,1027.4
1016042,1058052,766.976
1016111,1014661,2321.99
1016111,1014662,2196.57
1016111,1014861,2177.06
1016111,1014862,1521.16
1016111,1014871,2177.06
1016111,1014872,2196.57
1016111,1014971,1521.16
1016111,1014972,1619.72
1016111,1015901,2196.57
1016111,1015902,1982.44
1016111,1016041,2447.29
1016111,1016042,2412.34
1016111,1016111,0
1016111,1016112,684.421
1016111,1016191,637.715
1016111,1016192,1619.72
1016111,1016201,637.715
1016111,1016202,813.726
1016111,1016261,1982.44
1016111,1016262,1619.72
1016111,1016811,1436.55
1016111,1016812,1972.61
1016111,1017341,2237.62
1016111,1017342,1972.61
1016111,1017351,2237.62
1016111,1017352,2412.34
1016111,1017391,920.822
1016111,1017392,684.421
1016111,1017411,1554.38
1016111,1017412,1675.4
1016111,1017441,684.421
1016111,1017442,813.726
1016111,1017451,684.421
1016111,1017452,1310.26
1016111,1017531,1972.61
1016111,1017541,1972.61
1016111,1017542,1632.71
1016111,1017551,813.726
1016111,1017552,989.702
1016111,1017911,2412.34
1016111,1017912,2518.33
1016111,1018111,989.702
1016111,1018112,1310.26
1016111,1018121,989.702
1016111,1018122,2311.11
1016111,1018301,2211.27
1016111,1018302,1799.19
1016111,1018311,2211.27
1016111,1018312,2748.85
